Time:250Hz,Epoch,sFiltered 0,Event Id,Event Date,Event Duration
0.0000000000,0,0.0000000000,,,
0.0040000000,0,0.7820359835,,,
0.0079999999,0,8.5618053002,,,
0.0119999999,0,22.8233277860,,,
0.0159999998,0,2297.7714122483,,,
0.0199999998,0,19445.6466535847,,,
0.0240000000,0,63038.6940475152,,,
0.0279999999,0,112457.4122534190,,,
0.0319999999,0,137058.5564230086,,,
0.0359999998,0,129063.5630081836,,,
0.0399999998,0,89483.7054185240,,,
0.0440000000,0,32624.3560606801,,,
0.0480000000,0,409.3111805128,,,
0.0519999999,0,20212.8540818803,,,
0.0559999999,0,80026.0173560013,,,
0.0599999998,0,163450.6987594256,,,
0.0639999998,0,252506.7324166307,,,
0.0680000000,0,310448.9611435759,,,
0.0719999999,0,317790.9521211677,,,
0.0759999999,0,298408.0240055639,,,
0.0799999998,0,274690.2263950240,,,
0.0839999998,0,241255.8355724932,,,
0.0880000000,0,197032.1105301229,,,
0.0919999999,0,162409.2908884510,,,
0.0959999999,0,150055.5655528289,,,
0.0999999999,0,150734.0673453836,,,
0.1039999998,0,153763.9869282178,,,
0.1079999998,0,167286.9587416202,,,
0.1120000000,0,205035.9455202130,,,
0.1159999999,0,261047.7562716363,,,
0.1199999999,0,314892.5469248731,,,
0.1239999998,0,367688.3676004966,,,
0.1279999998,1,441363.4524440143,,,
0.1319999998,1,536991.8453389292,,,
0.1359999997,1,630984.4413511158,,,
0.1399999997,1,723172.5596283149,,,
0.1439999996,1,844290.7318070418,,,
0.1479999996,1,998693.8385828146,,,
0.1519999998,1,1149006.2342367640,,,
0.1559999997,1,1284161.6075448063,,,
0.1599999997,1,1447339.8130977296,,,
0.1639999996,1,1659790.5127000813,,,
0.1679999996,1,1878456.9113217779,,,
0.1719999998,1,2073285.4925983418,,,
0.1759999997,1,2284488.2577452092,,,
0.1799999997,1,2540089.3626195020,,,
0.1839999997,1,2785854.4074411741,,,
0.1879999996,1,2971916.1214817129,,,
0.1919999996,1,3144813.9750376800,,,
0.1959999998,1,3361776.9250313337,,,
0.1999999997,1,3581568.1462198715,,,
0.2039999997,1,3734827.9842361510,,,
0.2079999996,1,3845875.5323821590,,,
0.2119999996,1,3972410.8488555159,,,
0.2159999998,1,4077875.8797500883,,,
0.2199999997,1,4086407.8139797635,,,
0.2239999997,1,4026544.3477824908,,,
0.2279999997,1,3987558.7542439299,,,
0.2319999996,1,3966359.8663613205,,,
0.2359999996,1,3886137.1523620375,,,
0.2399999998,1,3741577.8845774168,,,
0.2439999997,1,3591231.2988774902,,,
0.2479999997,1,3416333.4009226132,,,
0.2519999996,1,3125114.2627268224,,,
0.2559999996,2,2704194.7096757065,,,
0.2599999995,2,2235536.4499288257,,,
0.2639999995,2,1760540.8106155614,,,
0.2679999995,2,1262115.6945305776,,,
0.2719999994,2,774383.2641647352,,,
0.2759999994,2,384219.6130376671,,,
0.2799999996,2,131394.9407663767,,,
0.2839999995,2,10128.4174757664,,,
0.2879999995,2,29864.5180074661,,,
0.2919999994,2,194338.2508546074,,,
0.2959999994,2,471427.1108703450,,,
0.2999999996,2,846393.0501818502,,,
0.3039999995,2,1336232.2009730903,,,
0.3079999995,2,1919074.0333358936,,,
0.3119999995,2,2538894.6583071263,,,
0.3159999994,2,3211251.1100151977,,,
0.3199999994,2,4013371.7797456170,,,
0.3239999996,2,4942521.6942745065,,,
0.3279999995,2,5901233.8683259077,,,
0.3319999995,2,6852989.6598847266,,,
0.3359999994,2,7845992.5460893540,,,
0.3399999994,2,8839196.5994325243,,,
0.3439999996,2,9679816.0202936158,,,
0.3479999995,2,10319351.5196811350,,,
0.3519999995,2,10866297.6660889480,,,
0.3559999994,2,11355085.8422992100,,,
0.3599999994,2,11663375.8172900450,,,
0.3639999994,2,11737923.7672824280,,,
0.3679999996,2,11700401.2419699910,,,
0.3719999995,2,11630089.7145826020,,,
0.3759999995,2,11443569.3814645560,,,
0.3799999994,2,11098123.9302680030,,,
0.3839999994,3,10723418.9039888050,,,
0.3879999993,3,10420112.8073459270,,,
0.3919999993,3,10101405.5803025550,,,
0.3959999993,3,9671037.4760901313,,,
0.3999999992,3,9210280.4153991789,,,
0.4039999992,3,8835825.3075379953,,,
0.4079999994,3,8508043.4766520970,,,
0.4119999993,3,8135262.3545702947,,,
0.4159999993,3,7759288.0522700641,,,
0.4199999992,3,7471418.7375740130,,,
0.4239999992,3,7226796.3739201259,,,
0.4279999994,3,6908500.1061985772,,,
0.4319999993,3,6526093.3497239882,,,
0.4359999993,3,6185480.6936817495,,,
0.4399999992,3,5898764.1791714672,,,
0.4439999992,3,5588285.5302058356,,,
0.4479999992,3,5259155.4008609969,,,
0.4519999993,3,5007118.8710216256,,,
0.4559999993,3,4849774.0038593700,,,
0.4599999993,3,4696633.0869889176,,,
0.4639999992,3,4508465.3619039673,,,
0.4679999992,3,4352090.9061622005,,,
0.4719999994,3,4253674.1164509347,,,
0.4759999993,3,4128734.1202974697,,,
0.4799999993,3,3916904.8515538727,,,
0.4839999992,3,3672391.6486848048,,,
0.4879999992,3,3445845.9899532134,,,
0.4919999992,3,3189365.1931517241,,,
0.4959999993,3,2856774.3190277987,,,
0.4999999993,3,2500661.9664794197,,,
0.5039999993,3,2184201.8436983079,,,
0.5079999992,3,1885913.4838851222,,,
0.5119999992,4,1566173.7308299302,,,
0.5159999991,4,1254134.2873829540,,,
0.5199999991,4,995748.4779355970,,,
0.5239999990,4,779897.9637147213,,,
0.5279999990,4,577015.4051330290,,,
0.5319999990,4,399736.5235471224,,,
0.5359999991,4,272920.8592855552,,,
0.5399999991,4,186491.0059914852,,,
0.5439999991,4,116635.8305498035,,,
0.5479999990,4,61323.0039846656,,,
0.5519999990,4,28026.9885729203,,,
0.5559999992,4,10874.0403522146,,,
0.5599999991,4,1478.8700433364,,,
0.5639999991,4,1467.2273059910,,,
0.5679999990,4,11708.9566578953,,,
0.5719999990,4,25690.9454948658,,,
0.5759999990,4,43961.7598503073,,,
0.5799999991,4,71862.6526784054,,,
0.5839999991,4,103339.8139125435,,,
0.5879999991,4,127652.9529756439,,,
0.5919999990,4,152330.6695224963,,,
0.5959999990,4,192175.7143123479,,,
0.5999999992,4,243042.5447953224,,,
0.6039999991,4,290369.7840534708,,,
0.6079999991,4,342620.4845244437,,,
0.6119999990,4,422981.0520236252,,,
0.6159999990,4,528138.9484099617,,,
0.6199999989,4,629686.8987231243,,,
0.6239999991,4,725494.0889381594,,,
0.6279999991,4,843429.1101524234,,,
0.6319999991,4,982254.3020735141,,,
0.6359999990,4,1103480.2494750572,,,
0.6399999990,5,1200285.1425924820,,,
0.6439999989,5,1312383.5033433752,,,
0.6479999989,5,1449356.5469392235,,,
0.6519999988,5,1567300.8560222073,,,
0.6559999988,5,1651021.7202404521,,,
0.6599999988,5,1749916.6647022581,,,
0.6639999989,5,1891665.8125722313,,,
0.6679999989,5,2031947.6105923892,,,
0.6719999989,5,2135639.8956476566,,,
0.6759999988,5,2242754.5636263979,,,
0.6799999988,5,2390814.9072447177,,,
0.6839999990,5,2539737.9287282773,,,
0.6879999989,5,2644373.0295748212,,,
0.6919999989,5,2744268.5873994553,,,
0.6959999988,5,2895357.3207215080,,,
0.6999999988,5,3066405.4637001329,,,
0.7039999987,5,3191551.4415334454,,,
0.7079999989,5,3284648.3749502650,,,
0.7119999989,5,3397366.4790827874,,,
0.7159999989,5,3500365.1857265816,,,
0.7199999988,5,3520117.0051736818,,,
0.7239999988,5,3471457.0448300135,,,
0.7279999990,5,3433767.1209865729,,,
0.7319999989,5,3415641.9548157309,,,
0.7359999989,5,3361458.0397718744,,,
0.7399999988,5,3280244.0713189682,,,
0.7439999988,5,3248384.5744315642,,,
