Time:250Hz,Epoch,sFiltered 0,Event Id,Event Date,Event Duration
0.0000000000,0,0.0000000000,,,
0.0040000000,0,0.0014723838,,,
0.0079999999,0,0.2081952048,,,
0.0119999999,0,6.3397601234,,,
0.0159999998,0,74.6380384704,,,
0.0199999998,0,444.9202790191,,,
0.0240000000,0,1606.5027220075,,,
0.0279999999,0,4047.9597496927,,,
0.0319999999,0,7979.8298178999,,,
0.0359999998,0,13327.7570732930,,,
0.0399999998,0,19644.7201739345,,,
0.0440000000,0,25979.6922062244,,,
0.0480000000,0,31271.7426413480,,,
0.0519999999,0,34907.0472974266,,,
0.0559999999,0,36652.8495138726,,,
0.0599999998,0,36507.0791672192,,,
0.0639999998,0,34991.5243053623,,,
0.0680000000,0,33044.4082529185,,,
0.0719999999,0,31242.5624316370,,,
0.0759999999,0,29384.8222065586,,,
0.0799999998,0,26965.6591410457,,,
0.0839999998,0,23827.7104583001,,,
0.0880000000,0,20155.5131967079,,,
0.0919999999,0,16178.0953699163,,,
0.0959999999,0,12274.3277988092,,,
0.0999999999,0,9039.2100550634,,,
0.1039999998,0,6850.7357804897,,,
0.1079999998,0,5586.2759509328,,,
0.1120000000,0,4885.8612369444,,,
0.1159999999,0,4495.8360269732,,,
0.1199999999,0,4298.1556192615,,,
0.1239999998,0,4146.4838695576,,,
0.1279999998,1,3887.2311700419,,,
0.1319999998,1,3564.3098138714,,,
0.1359999997,1,3376.3083696157,,,
0.1399999997,1,3377.8704218288,,,
0.1439999996,1,3379.1250540895,,,
0.1479999996,1,3191.9615224718,,,
0.1519999998,1,2874.6766718638,,,
0.1559999997,1,2595.1850873922,,,
0.1599999997,1,2385.2304023991,,,
0.1639999996,1,2141.5120992049,,,
0.1679999996,1,1769.5281314635,,,
0.1719999998,1,1255.7753906556,,,
0.1759999997,1,666.5819892400,,,
0.1799999997,1,171.9782786345,,,
0.1839999997,1,3.4755200850,,,
0.1879999996,1,322.8206116581,,,
0.1919999996,1,1174.7425594728,,,
0.1959999998,1,2444.5208325062,,,
0.1999999997,1,3742.8448729911,,,
0.2039999997,1,4534.4872922008,,,
0.2079999996,1,4541.1605682310,,,
0.2119999996,1,3862.3021626869,,,
0.2159999998,1,2761.4036033101,,,
0.2199999997,1,1587.0222836352,,,
0.2239999997,1,706.9231622070,,,
0.2279999997,1,250.8198715565,,,
0.2319999996,1,77.7401482110,,,
0.2359999996,1,20.4467874806,,,
0.2399999998,1,2.3871860300,,,
0.2439999997,1,0.8019138423,,,
0.2479999997,1,15.0118605762,,,
0.2519999996,1,81.0971941276,,,
0.2559999996,2,281.0534973641,,,
0.2599999995,2,648.9229654218,,,
0.2639999995,2,1075.2850345146,,,
0.2679999995,2,1408.3669836527,,,
0.2719999994,2,1551.3170252710,,,
0.2759999994,2,1449.8773702866,,,
0.2799999996,2,1149.8897038020,,,
0.2839999995,2,804.4902665317,,,
0.2879999995,2,513.0545707868,,,
0.2919999994,2,261.5215831701,,,
0.2959999994,2,55.5703218617,,,
0.2999999996,2,15.3589771610,,,
0.3039999995,2,303.9353475128,,,
0.3079999995,2,1095.6413761377,,,
0.3119999995,2,2647.4420466239,,,
0.3159999994,2,5246.6940060065,,,
0.3199999994,2,9149.6252146581,,,
0.3239999996,2,14764.2811369131,,,
0.3279999995,2,22659.4885709031,,,
0.3319999995,2,32935.2220633992,,,
0.3359999994,2,44566.0666091205,,,
0.3399999994,2,55579.7229855676,,,
0.3439999996,2,63645.9209367409,,,
0.3479999995,2,66465.8510887661,,,
0.3519999995,2,62725.0361667835,,,
0.3559999994,2,53516.5716580158,,,
0.3599999994,2,42098.3562433539,,,
0.3639999994,2,31700.9773390052,,,
0.3679999996,2,24005.9513775131,,,
0.3719999995,2,19414.4045545313,,,
0.3759999995,2,17771.4269584728,,,
0.3799999994,2,18619.1624722238,,,
0.3839999994,3,21154.0229114428,,,
0.3879999993,3,24382.6687191422,,,
0.3919999993,3,27617.8999433840,,,
0.3959999993,3,30638.6643831543,,,
0.3999999992,3,33324.5399221222,,,
0.4039999992,3,35512.9014406555,,,
0.4079999994,3,37142.3523368299,,,
0.4119999993,3,38033.8738939213,,,
0.4159999993,3,37540.4524888769,,,
0.4199999992,3,34990.5489801988,,,
0.4239999992,3,30614.7464488947,,,
0.4279999994,3,25494.2883079877,,,
0.4319999993,3,20600.8814087799,,,
0.4359999993,3,16401.9354701902,,,
0.4399999992,3,13164.8496727246,,,
0.4439999992,3,11037.2600359771,,,
0.4479999992,3,9855.3348713762,,,
0.4519999993,3,9231.0051473419,,,
0.4559999993,3,8878.7925215151,,,
0.4599999993,3,8706.0659451538,,,
0.4639999992,3,8573.8716099708,,,
0.4679999992,3,8166.3746405562,,,
0.4719999994,3,7230.6584447680,,,
0.4759999993,3,5844.5410186329,,,
0.4799999993,3,4305.4803000629,,,
0.4839999992,3,2895.3351670267,,,
0.4879999992,3,1837.0541211384,,,
0.4919999992,3,1255.6771084560,,,
0.4959999993,3,1128.6179121450,,,
0.4999999993,3,1386.5160265439,,,
0.5039999993,3,2005.4482855039,,,
0.5079999992,3,3041.4338237732,,,
0.5119999992,4,4641.4178603145,,,
0.5159999991,4,6915.6721425755,,,
0.5199999991,4,9796.2576861637,,,
0.5239999990,4,13088.9959192452,,,
0.5279999990,4,16467.6950088963,,,
0.5319999990,4,19237.8171338198,,,
0.5359999991,4,20490.3773385034,,,
0.5399999991,4,19918.5634270104,,,
0.5439999991,4,18159.7198372506,,,
0.5479999990,4,16066.7968248800,,,
0.5519999990,4,14115.8890360204,,,
0.5559999992,4,12611.0899906096,,,
0.5599999991,4,11907.5064998686,,,
0.5639999991,4,12207.5441411664,,,
0.5679999990,4,13399.9406783590,,,
0.5719999990,4,15278.0092802273,,,
0.5759999990,4,17832.9688236493,,,
0.5799999991,4,21131.0529302465,,,
0.5839999991,4,24944.2032705614,,,
0.5879999991,4,28749.2548437823,,,
0.5919999990,4,32063.0814141391,,,
0.5959999990,4,34435.8723391036,,,
0.5999999992,4,35130.6363949979,,,
0.6039999991,4,33394.2488471042,,,
0.6079999991,4,29293.4046234551,,,
0.6119999990,4,23790.8476147060,,,
0.6159999990,4,17915.9273955634,,,
0.6199999989,4,12367.2030744907,,,
0.6239999991,4,7710.6658609293,,,
0.6279999991,4,4308.7691287778,,,
0.6319999991,4,2110.2565842290,,,
0.6359999990,4,834.8302633575,,,
0.6399999990,5,228.5113243463,,,
0.6439999989,5,38.0058831796,,,
0.6479999989,5,8.1438116371,,,
0.6519999988,5,16.9042928144,,,
0.6559999988,5,68.6137639225,,,
0.6599999988,5,207.4662516723,,,
0.6639999989,5,460.4381963531,,,
0.6679999989,5,764.9000804044,,,
0.6719999989,5,992.1097321763,,,
0.6759999988,5,1076.8695441440,,,
0.6799999988,5,1012.2941052394,,,
0.6839999990,5,772.1342582789,,,
0.6879999989,5,402.8166523749,,,
0.6919999989,5,98.4559573398,,,
0.6959999988,5,0.0296878708,,,
0.6999999988,5,47.6559374868,,,
0.7039999987,5,112.6367714368,,,
0.7079999989,5,129.9964166845,,,
0.7119999989,5,118.8257250867,,,
0.7159999989,5,150.1322885336,,,
0.7199999988,5,343.9757414376,,,
0.7239999988,5,915.7948897634,,,
0.7279999990,5,2038.9482669444,,,
0.7319999989,5,3689.8790385834,,,
0.7359999989,5,5755.7905063308,,,
0.7399999988,5,8078.9205234278,,,
0.7439999988,5,10414.3533365400,,,
0.7479999987,5,12642.1557077528,,,
0.7519999989,5,14952.8882887939,,,
0.7559999989,5,17542.6159266955,,,
0.7599999988,5,20215.1174904334,,,
0.7639999988,5,22592.3411292777,,,
0.7679999988,6,24650.4785595155,,,
0.7719999987,6,26685.9646769366,,,
0.7759999987,6,28882.8012421580,,,
0.7799999986,6,31334.2727775511,,,
0.7839999986,6,34373.6538370941,,,
0.7879999985,6,38331.2838045359,,,
0.7919999987,6,42839.5541330233,,,
0.7959999987,6,46891.9845635909,,,
0.7999999986,6,49812.9176850062,,,
0.8039999986,6,51609.3172928790,,,
0.8079999986,6,52288.7372274587,,,
0.8119999988,6,51649.4635500584,,,
0.8159999987,6,49934.1399297673,,,
0.8199999987,6,47964.2035389646,,,
0.8239999986,6,46407.0278634482,,,
0.8279999986,6,45455.9848540093,,,
0.8319999985,6,45268.2720256925,,,
0.8359999987,6,46088.8889182640,,,
0.8399999987,6,47704.4737878679,,,
0.8439999986,6,49288.0334055653,,,
0.8479999986,6,50205.2868532868,,,
0.8519999986,6,50535.3151995201,,,
0.8559999987,6,50376.1660894009,,,
0.8599999987,6,49213.9805417254,,,
0.8639999987,6,46463.8187354471,,,
0.8679999986,6,42241.2064506630,,,
0.8719999986,6,37192.8902651372,,,
0.8759999985,6,31924.3990718604,,,
0.8799999987,6,27020.0850612372,,,
0.8839999987,6,23234.3304507591,,,
0.8879999986,6,21087.6105352856,,,
0.8919999986,6,20408.9336413400,,,
0.8959999986,7,20600.5903356045,,,
0.8999999985,7,21321.2630223925,,,
0.9039999985,7,22687.9438999350,,,
0.9079999984,7,24869.5069799753,,,
0.9119999984,7,27852.7038955319,,,
0.9159999983,7,31583.5927256778,,,
0.9199999985,7,35936.5198712352,,,
0.9239999985,7,40395.7853178604,,,
0.9279999984,7,44058.6014733887,,,
0.9319999984,7,46278.9900143330,,,
0.9359999984,7,47128.4226978305,,,
0.9399999985,7,46967.7085212024,,,
0.9439999985,7,46065.3232742150,,,
0.9479999985,7,44988.6904612835,,,
0.9519999984,7,44716.2996574362,,,
0.9559999984,7,45920.6797896790,,,
0.9599999983,7,48584.7465298666,,,
0.9639999985,7,52519.2746338747,,,
0.9679999985,7,57724.6120164124,,,
0.9719999984,7,63772.1528730350,,,
0.9759999984,7,69185.0279719981,,,
0.9799999984,7,72215.1866136818,,,
0.9839999985,7,72244.8471123197,,,
0.9879999985,7,69859.1901984355,,,
0.9919999985,7,65996.0118899610,,,
0.9959999984,7,61768.2305355667,,,
0.9999999984,7,58592.9725944270,,,
1.0039999983,7,57611.5411714512,,,
1.0079999985,7,58916.8962534105,,,
1.0119999985,7,61635.1163143947,,,
1.0159999984,7,64833.5356039271,,,
1.0199999984,7,68112.6359340496,,,
1.0239999983,8,71085.7543582086,,,
1.0279999983,8,72723.9209857758,,,
1.0319999983,8,71774.9762009616,,,
1.0359999982,8,67517.8704060609,,,
1.0399999982,8,59797.1332660296,,,
1.0439999981,8,49060.7100252211,,,
1.0479999983,8,36833.3617307855,,,
1.0519999983,8,25349.7695381146,,,
1.0559999982,8,16196.4665395372,,,
1.0599999982,8,9708.4241844867,,,
1.0639999982,8,5516.4928484944,,,
1.0679999983,8,3070.9918987400,,,
1.0719999983,8,1762.4247449531,,,
1.0759999983,8,1037.0567855919,,,
1.0799999982,8,558.4651409411,,,
1.0839999982,8,231.2769322707,,,
1.0879999981,8,54.5160119552,,,
1.0919999983,8,0.3079032231,,,
1.0959999983,8,28.2372993267,,,
1.0999999982,8,93.3269039054,,,
1.1039999982,8,131.8944299799,,,
1.1079999981,8,118.4789092348,,,
1.1119999983,8,79.3216272168,,,
1.1159999983,8,31.4197801086,,,
1.1199999982,8,0.0568384247,,,
1.1239999982,8,39.0775012857,,,
1.1279999982,8,113.0783802911,,,
1.1319999981,8,91.8820270403,,,
1.1359999983,8,1.9946734413,,,
1.1399999983,8,203.4023242137,,,
1.1439999982,8,1367.7080853710,,,
1.1479999982,8,4225.6851591390,,,
