Time:8Hz,Epoch,sFiltered 0,Event Id,Event Date,Event Duration
0.0000000000,0,61883.9325105885,,,
0.1279999998,1,104854.9828218711,,,
0.2559999996,2,60460.2274856514,,,
0.3839999994,3,692717.4405000148,,,
0.5119999992,4,25320.8313861386,,,
0.6399999990,5,504980.0278057284,,,
0.7679999988,6,434956.2089879161,,,
0.8959999986,7,118451.9984975726,,,
1.0239999983,8,137733.8143794214,,,
1.1519999981,9,126988.0506469984,,,
1.2799999979,10,71940.9815193715,,,
1.4079999977,11,795046.8389293738,,,
1.5359999975,12,350003.8178290752,,,
1.6639999973,13,422568.1391393383,,,
1.7919999971,14,83013.3438667966,,,
1.9199999969,15,100470.0912546061,,,
2.0479999967,16,169183.5119009716,,,
2.1759999965,17,39254.4185067122,,,
2.3039999963,18,584325.1623754025,,,
2.4319999961,19,67283.9009494553,,,
2.5599999959,20,203246.8278397762,,,
2.6879999957,21,78102.4598618943,,,
2.8159999955,22,9762.9592917908,,,
2.9439999952,23,1430810.6766257174,,,
3.0719999950,24,1013291.5029400267,,,
3.1999999948,25,112314.2670320748,,,
3.3279999946,26,22709.0816845655,,,
3.4559999944,27,157954.7024029293,,,
3.5839999942,28,350854.3367671299,,,
3.7119999940,29,164830.6859948082,,,
3.8399999938,30,191953.2152678940,,,
3.9679999936,31,79558.9530599941,,,
4.0959999934,32,567976.6855506367,,,
4.2239999932,33,314681.2625535031,,,
4.3519999930,34,184060.9009127592,,,
4.4799999928,35,324559.2940954341,,,
4.6079999926,36,491345.0160483661,,,
4.7359999924,37,281790.7322895316,,,
4.8639999921,38,73230.3262164686,,,
4.9919999919,39,7565.6179848523,,,
5.1199999917,40,1196005.1847443709,,,
5.2479999915,41,378878.5058114047,,,
5.3759999913,42,126329.5109093171,,,
5.5039999911,43,554152.8862848706,,,
5.6319999909,44,70193.6765687869,,,
5.7599999907,45,191072.0502577734,,,
5.8879999905,46,12974.7296008321,,,
6.0159999903,47,561.7528038410,,,
6.1439999901,48,8690.9884438280,,,
6.2719999899,49,74064.3336234495,,,
6.3999999897,50,66617.2791692078,,,
6.5279999895,51,289081.2478441936,,,
6.6559999892,52,216814.5532934733,,,
6.7839999890,53,94520.6289836248,,,
6.9119999888,54,15661.1273811130,,,
7.0399999886,55,73383.8414165824,,,
7.1679999884,56,267238.7148330265,,,
7.2959999882,57,314949.6736151763,,,
7.4239999880,58,90568.3638093309,,,
7.5519999878,59,93503.3540268569,,,
7.6799999876,60,27293.4068566121,,,
7.8079999874,61,34988.6901758340,,,
7.9359999872,62,17663.1146121282,,,
8.0639999870,63,17031.1429907331,,,
8.1919999868,64,46930.9829910289,,,
8.3199999866,65,36561.3749347448,,,
8.4479999864,66,86240.4352706785,,,
8.5759999861,67,73326.4983657945,,,
8.7039999859,68,98584.1389886061,,,
8.8319999857,69,211070.0280909657,,,
8.9599999855,70,367431.4490731214,,,
9.0879999853,71,65169.5024930931,,,
9.2159999851,72,70108.3628167828,,,
9.3439999849,73,366518.9488762746,,,
9.4719999847,74,325294.7166915017,,,
9.5999999845,75,44986.9116948813,,,
9.7279999843,76,48475.5829001162,,,
9.8559999841,77,36247.2568611928,,,
9.9839999839,78,26156.2934128939,,,
10.1119999837,79,296711.1710705595,,,
10.2399999835,80,132360.4074993305,,,
10.3679999833,81,205824.2683917216,,,
10.4959999830,82,359570.6266681423,,,
10.6239999828,83,5228.0921239927,,,
10.7519999826,84,10986.3980657136,,,
10.8799999824,85,207039.9716652886,,,
11.0079999822,86,221911.2312021646,,,
11.1359999820,87,46594.2022838621,,,
11.2639999818,88,1600.5030385490,,,
11.3919999816,89,77439.7894923657,,,
11.5199999814,90,252179.2965424453,,,
11.6479999812,91,81594.3364113738,,,
11.7759999810,92,50436.9814743709,,,
11.9039999808,93,42612.8686607681,,,
12.0319999806,94,22217.0364640196,,,
12.1599999804,95,32982.0112489734,,,
12.2879999802,96,33767.8974037756,,,
12.4159999799,97,26927.2989889219,,,
12.5439999797,98,21479.6816062375,,,
12.6719999795,99,6450.2920745791,,,
12.7999999793,100,52322.3487930223,,,
12.9279999791,101,45000.7788241370,,,
13.0559999789,102,23883.4950431817,,,
13.1839999787,103,46304.8984141587,,,
13.3119999785,104,73965.3104225434,,,
13.4399999783,105,131781.7247144916,,,
13.5679999781,106,7363914.9678559946,,,
13.6959999779,107,216971.2531947429,,,
13.8239999777,108,51763.1214223772,,,
13.9519999775,109,317557.6629599968,,,
14.0799999773,110,5657155.0816825526,,,
14.2079999771,111,4356732.1915684156,,,
14.3359999768,112,2639654.0442335070,,,
14.4639999766,113,1156126.6242304328,,,
14.5919999764,114,231894.6984071811,,,
14.7199999762,115,37266.2732299272,,,
14.8479999760,116,304294.2225543279,,,
14.9759999758,117,774247.7326225841,,,
15.1039999756,118,52178.1249726492,,,
15.2319999754,119,66057.7171788071,,,
15.3599999752,120,274771.2363893618,,,
15.4879999750,121,16532.3181122493,,,
15.6159999748,122,6081.2506649244,,,
15.7439999746,123,65.1668662250,,,
15.8719999744,124,352768.1020353584,,,
15.9999999742,125,261467.2636297218,,,
16.1279999739,126,32859.0740048706,,,
16.2559999737,127,4558.1963224392,,,
16.3839999735,128,199631.0676648199,,,
16.5119999733,129,6928.8640180046,,,
16.6399999731,130,72158.6091623600,,,
