Time:16Hz,Epoch,sFiltered 0,Event Id,Event Date,Event Duration
0.0000000000,0,767.6450790166,,,
0.0639999998,1,1132.3699636868,,,
0.1279999996,2,1030.8694773161,,,
0.1919999993,3,1564.0734207778,,,
0.2559999991,4,1316.4476684985,,,
0.3199999989,5,1255.6983810745,,,
0.3839999987,6,714.6389311403,,,
0.4479999985,7,1170.9900134555,,,
0.5119999982,8,975.2302608303,,,
0.5759999980,9,445.4516444043,,,
0.6399999978,10,75.9121452697,,,
0.7039999976,11,203.3851668199,,,
0.7679999974,12,155.4822313399,,,
0.8319999971,13,117.2199416741,,,
0.8959999969,14,816.6601629143,,,
0.9599999967,15,400.1007503848,,,
1.0239999965,16,900.6923793928,,,
1.0879999963,17,448.8524648408,,,
1.1519999960,18,564.8874455008,,,
1.2159999958,19,814.1242072384,,,
1.2799999956,20,182.5010563562,,,
1.3439999954,21,378.3224010460,,,
1.4079999952,22,635.5362553062,,,
1.4719999949,23,738.8678764470,,,
1.5359999947,24,638.3134490138,,,
1.5999999945,25,308.6405864474,,,
1.6639999943,26,695.1184390135,,,
1.7279999941,27,529.3302118475,,,
1.7919999938,28,1047.2147996461,,,
1.8559999936,29,1085.6091591581,,,
1.9199999934,30,1219.0528056504,,,
1.9839999932,31,814.4331736366,,,
2.0479999930,32,1074.0888954533,,,
2.1119999927,33,626.7136891518,,,
2.1759999925,34,498.4138795559,,,
2.2399999923,35,268.7117288553,,,
2.3039999921,36,801.5983178275,,,
2.3679999919,37,487.0120740240,,,
2.4319999916,38,690.5481848912,,,
2.4959999914,39,279.7691516678,,,
2.5599999912,40,300.1817315743,,,
2.6239999910,41,1801.9048366409,,,
2.6879999908,42,1485.3987990727,,,
2.7519999905,43,1185.3014878513,,,
2.8159999903,44,1655.6273973731,,,
2.8799999901,45,1451.8175067839,,,
2.9439999899,46,2740.6831353880,,,
3.0079999897,47,1793.6243902405,,,
3.0719999894,48,1195.6748749948,,,
3.1359999892,49,209.1947567841,,,
3.1999999890,50,767.0284327721,,,
3.2639999888,51,1213.1576350804,,,
3.3279999886,52,1072.4235738147,,,
3.3919999884,53,835.6030071389,,,
3.4559999881,54,632.5198136981,,,
3.5199999879,55,845.2100415452,,,
3.5839999877,56,510.0032326244,,,
3.6479999875,57,2380.4254042750,,,
3.7119999873,58,856.9175234137,,,
3.7759999870,59,685.3128942650,,,
3.8399999868,60,271.2191308632,,,
3.9039999866,61,1797.5537539479,,,
3.9679999864,62,2615.4733555558,,,
4.0319999862,63,1218.8642647808,,,
4.0959999859,64,405.7443447786,,,
4.1599999857,65,7773.9948854355,,,
4.2239999855,66,2419.9906037817,,,
4.2879999853,67,1255.8200338641,,,
4.3519999851,68,666.2074158964,,,
4.4159999848,69,737.4147585955,,,
4.4799999846,70,666.7159964196,,,
4.5439999844,71,1802.0145915359,,,
4.6079999842,72,424.8753846031,,,
4.6719999840,73,872.2497898568,,,
4.7359999837,74,1097.9181537855,,,
4.7999999835,75,989.2625462026,,,
4.8639999833,76,444.5780630136,,,
4.9279999831,77,1277.1395963117,,,
4.9919999829,78,310.6511863572,,,
5.0559999826,79,393.7963530788,,,
5.1199999824,80,584.1343888713,,,
5.1839999822,81,215.5695117538,,,
5.2479999820,82,610.6778375426,,,
5.3119999818,83,486.7086915240,,,
5.3759999815,84,231.9270916051,,,
5.4399999813,85,143.5176157073,,,
5.5039999811,86,282.6602959076,,,
5.5679999809,87,147.7103079138,,,
5.6319999807,88,223.4358448980,,,
5.6959999804,89,325.7266987867,,,
5.7599999802,90,1149.6152389000,,,
5.8239999800,91,1357.5901825775,,,
5.8879999798,92,362.1070111029,,,
5.9519999796,93,827.0937848762,,,
6.0159999793,94,502.3709228415,,,
6.0799999791,95,508.4323190860,,,
6.1439999789,96,575.4130113646,,,
6.2079999787,97,626.1865805378,,,
6.2719999785,98,829.1630641405,,,
6.3359999782,99,613.7287555256,,,
6.3999999780,100,1692.4420493518,,,
6.4639999778,101,330.9891814218,,,
6.5279999776,102,861.5511836511,,,
6.5919999774,103,1492.6862062397,,,
6.6559999771,104,827.5686046501,,,
6.7199999769,105,1582.4170527369,,,
6.7839999767,106,1825.1356074751,,,
6.8479999765,107,1775.6892393802,,,
6.9119999763,108,503.1530784785,,,
6.9759999760,109,275.5159318693,,,
7.0399999758,110,1965.3442563489,,,
7.1039999756,111,877.8277146140,,,
7.1679999754,112,353.2889682309,,,
7.2319999752,113,755.7593653524,,,
7.2959999749,114,1441.2899896926,,,
7.3599999747,115,3513.3089031669,,,
7.4239999745,116,3568.9368341593,,,
7.4879999743,117,1414.5180161119,,,
7.5519999741,118,49.2151753363,,,
7.6159999738,119,10390.2282249437,,,
7.6799999736,120,5635.3869171891,,,
7.7439999734,121,2397.5173640261,,,
7.8079999732,122,1335.8955744823,,,
7.8719999730,123,321.9107921560,,,
7.9359999727,124,612.3763443316,,,
7.9999999725,125,556.1779739655,,,
8.0639999723,126,1253.9029429513,,,
8.1279999721,127,1331.4606060708,,,
8.1919999719,128,4942.3701056081,,,
8.2559999716,129,2944.9192441413,,,
8.3199999714,130,275.0865598604,,,
8.3839999712,131,212.9385336727,,,
8.4479999710,132,1265.3470224767,,,
8.5119999708,133,1942.5767312807,,,
8.5759999705,134,2767.1740804456,,,
8.6399999703,135,2500.8568361977,,,
8.7039999701,136,2200.4209294955,,,
8.7679999699,137,475.7006576006,,,
8.8319999697,138,845.9168290783,,,
8.8959999694,139,369.7161164010,,,
8.9599999692,140,2372.6316481615,,,
9.0239999690,141,4447.1573225447,,,
9.0879999688,142,1171.2406923161,,,
9.1519999686,143,470.5484962148,,,
9.2159999683,144,730.2612953879,,,
9.2799999681,145,351.3116218856,,,
9.3439999679,146,602.5461293502,,,
9.4079999677,147,2589.2302748524,,,
9.4719999675,148,4702.4605582586,,,
9.5359999673,149,1489.4297073073,,,
9.5999999670,150,1702.4531446701,,,
9.6639999668,151,1933.3284630808,,,
9.7279999666,152,2560.4823047354,,,
9.7919999664,153,2320.1356105202,,,
9.8559999662,154,667.6135221597,,,
9.9199999659,155,1519.9798232419,,,
9.9839999657,156,1599.7088180910,,,
10.0479999655,157,1094.5668197672,,,
10.1119999653,158,685.9153835396,,,
10.1759999651,159,173.4905482635,,,
10.2399999648,160,1741.7952099036,,,
10.3039999646,161,1121.0387877108,,,
10.3679999644,162,164.7697758642,,,
10.4319999642,163,838.0791343884,,,
10.4959999640,164,479.3002110007,,,
10.5599999637,165,193.9819358755,,,
10.6239999635,166,378.2986926015,,,
10.6879999633,167,1388.7599476932,,,
10.7519999631,168,731.9302462203,,,
10.8159999629,169,1054.5516277994,,,
10.8799999626,170,988.1333448156,,,
10.9439999624,171,1729.5072983950,,,
11.0079999622,172,1586.3392290334,,,
11.0719999620,173,2673.9227288944,,,
11.1359999618,174,2001.7809470142,,,
11.1999999615,175,1195.8544997140,,,
11.2639999613,176,1846.1997625404,,,
11.3279999611,177,3757.2040193829,,,
11.3919999609,178,1559.9822681412,,,
11.4559999607,179,1337.2760300199,,,
11.5199999604,180,1892.4682324729,,,
11.5839999602,181,611.2513929842,,,
11.6479999600,182,1157.5884726256,,,
11.7119999598,183,989.3227925380,,,
11.7759999596,184,1708.5053003265,,,
11.8399999593,185,744.1449913283,,,
11.9039999591,186,1533.3857201542,,,
11.9679999589,187,936.8635642369,,,
12.0319999587,188,1735.6776573244,,,
12.0959999585,189,2326.8182740072,,,
12.1599999582,190,4538.3098289906,,,
12.2239999580,191,3929.9487264611,,,
12.2879999578,192,1274.7957277936,,,
12.3519999576,193,1519.6921895138,,,
12.4159999574,194,1359.6496476654,,,
12.4799999571,195,1645.7994291481,,,
12.5439999569,196,1692.9236949537,,,
12.6079999567,197,655.0685940517,33025,12.6250000000,0.0000000000
12.6719999565,198,883.4177650302,,,
12.7359999563,199,768.5281384206,,,
12.7999999560,200,1185.2532737246,33024,12.8437500000,0.0000000000
12.8639999558,201,988.5681284464,,,
12.9279999556,202,586.9900865216,,,
12.9919999554,203,971.4779055961,,,
13.0559999552,204,1308.0479042324,,,
13.1199999549,205,523.5740624896,,,
13.1839999547,206,1043.7353063941,,,
13.2479999545,207,1717.6452007520,,,
13.3119999543,208,1716.8000268302,,,
13.3759999541,209,1155.9124387373,,,
13.4399999538,210,779.9212809102,,,
13.5039999536,211,648.7136116341,,,
13.5679999534,212,445.7683754340,,,
13.6319999532,213,1506.4134441138,,,
13.6959999530,214,870.8657591405,,,
13.7599999527,215,2252.9768462651,,,
13.8239999525,216,635.6429347213,,,
13.8879999523,217,1955.8867029930,,,
13.9519999521,218,2270.4190837157,,,
14.0159999519,219,826.3123948669,,,
14.0799999516,220,618.2784174402,,,
14.1439999514,221,2080.3245778719,,,
14.2079999512,222,2871.3178360726,,,
14.2719999510,223,4513.4343602532,,,
14.3359999508,224,826.8507989446,,,
14.3999999505,225,636.3478452409,,,
14.4639999503,226,561.5463502773,,,
14.5279999501,227,987.8744649666,,,
14.5919999499,228,810.3572511085,,,
14.6559999497,229,590.2431708446,,,
14.7199999494,230,1454.9159263726,,,
14.7839999492,231,1695.3028659988,,,
14.8479999490,232,1307.7593844492,,,
14.9119999488,233,69746.2971313226,,,
14.9759999486,234,280525.5787587013,,,
15.0399999483,235,55328.6318218004,,,
15.1039999481,236,1793.8101150695,,,
15.1679999479,237,7460.5282421216,,,
15.2319999477,238,4235.5088933037,,,
