Time:250Hz,Epoch,sFiltered 0,Event Id,Event Date,Event Duration
1.5000000000,0,3341631.5669257552,,,
1.5040000000,0,2369656.5806977144,,,
1.5079999999,0,1812366.1512810781,,,
1.5119999999,0,1574554.7823199546,,,
1.5159999998,0,1532925.0703474032,,,
1.5199999998,0,1584829.3875923206,,,
1.5240000000,0,1631809.9135216475,,,
1.5279999999,0,1590300.3504684472,,,
1.5319999999,0,1435477.3362862100,,,
1.5359999998,0,1208959.9551692102,,,
1.5399999998,0,979382.1989674597,,,
1.5440000000,0,804743.6258913233,,,
1.5480000000,0,713711.1480413349,,,
1.5519999999,0,697854.0740451504,,,
1.5559999999,0,715431.7266097565,,,
1.5599999998,0,711289.6861769439,,,
1.5639999998,0,650812.6277720030,,,
1.5680000000,0,541383.4603939425,,,
1.5719999999,0,417330.3110267167,,,
1.5759999999,0,311273.9262527165,,,
1.5799999998,0,287750.8382548754,,,
1.5839999998,0,597787.9006339369,,,
1.5880000000,0,2391236.4641763023,,,
1.5919999999,0,7369891.8359373342,,,
1.5959999999,0,11290505.1476478090,,,
1.5999999999,0,5430883.9792855168,,,
1.6039999998,0,1015881.7889581937,,,
1.6079999998,0,30529435.4104502460,,,
1.6120000000,0,92889935.2640902250,,,
1.6159999999,0,126344720.7182626900,,,
1.6199999999,0,83629060.0202753100,,,
1.6239999998,0,13436312.4858156390,,,
1.6279999998,0,12451924.6653321800,,,
1.6320000000,0,99427693.3361910730,,,
1.6359999999,0,185975996.8533449800,,,
1.6399999999,0,183620340.5054278100,,,
1.6439999999,0,102034256.0699950500,,,
1.6479999998,0,22294763.5331059170,,,
1.6519999998,0,697356.1541388468,,,
1.6560000000,0,25097522.0971484150,,,
1.6599999999,0,51835701.5210096090,,,
1.6639999999,0,56247143.6600800010,,,
1.6679999998,0,42923784.0600673410,,,
1.6719999998,0,26102522.0868211570,,,
1.6760000000,0,13706590.6717790100,,,
1.6799999999,0,6275908.8812034344,,,
1.6839999999,0,2003048.5224130636,,,
1.6879999998,0,79066.8379164406,,,
1.6919999998,0,1216929.1276567257,,,
1.6960000000,0,6063057.2800214365,,,
1.7000000000,0,12975363.4363184140,,,
1.7039999999,0,17945544.6516650770,,,
1.7079999999,0,17598696.2739439090,,,
1.7119999998,0,12236248.9537950620,,,
1.7159999998,0,5476632.5267741280,,,
1.7200000000,0,1023313.8106982085,,,
1.7239999999,0,65895.5655021765,,,
1.7279999999,0,1400951.1328152379,,,
1.7319999998,0,3202126.6199854477,,,
1.7359999998,0,4362634.7373357713,,,
1.7400000000,0,4658433.2115464378,,,
1.7439999999,0,4418565.6194137335,,,
1.7479999999,0,4865030.9970584400,,,
1.7519999999,0,7700962.3112146249,,,
1.7559999998,0,9858289.7604072150,,,
1.7599999998,0,4681578.8748751571,,,
1.7640000000,0,429710.7652100344,,,
1.7679999999,0,21286424.4836625200,,,
1.7719999999,0,66909536.2694453970,,,
1.7759999998,0,92012890.6840838790,,,
1.7799999998,0,61340968.7483476700,,,
1.7840000000,0,10555954.3931434010,,,
1.7879999999,0,11495336.6442213510,,,
1.7919999999,0,77899489.9070856870,,,
1.7959999999,0,142646090.7958529300,,,
1.7999999998,0,138743820.6185643100,,,
1.8039999998,0,74869519.0069583060,,,
1.8080000000,0,14794580.4246751030,,,
1.8119999999,0,1967651.5224241125,,,
1.8159999999,0,24918637.1090620050,,,
1.8199999998,0,47198206.8654732110,,,
1.8239999998,0,48906662.0010347140,,,
1.8280000000,0,35248352.8683545890,,,
1.8319999999,0,19864319.4991589900,,,
1.8359999999,0,10550514.7181463260,,,
1.8399999999,0,7250108.7160593821,,,
1.8439999998,0,6602903.1470659142,,,
1.8480000000,0,4665208.3698523911,,,
1.8520000000,0,737690.3406392774,,,
1.8559999999,0,6184453.1551529001,,,
1.8599999999,0,37781361.4636258480,,,
1.8639999998,0,87982882.7394424380,,,
1.8679999998,0,115767200.4958076500,,,
1.8720000000,0,88744619.9629556830,,,
1.8759999999,0,29396117.4504493400,,,
1.8799999999,0,457605.4306319401,,,
1.8839999998,0,38218704.0433475900,,,
1.8879999998,0,109247241.0570472200,,,
1.8920000000,0,143505223.3681875800,,,
1.8959999999,0,109079750.6626596200,,,
1.8999999999,0,43452671.5661893640,,,
1.9039999999,0,8023161.0709409993,,,
1.9079999998,0,23172896.0863336880,,,
1.9119999998,0,56821135.4587794100,,,
1.9160000000,0,68570747.4570650160,,,
1.9199999999,0,50801161.2387226370,,,
1.9239999999,0,25486900.5502917250,,,
1.9279999998,0,13394096.0144311210,,,
1.9319999998,0,15461382.8086603490,,,
1.9360000000,0,20062504.1720610710,,,
1.9399999999,0,19161013.6974716220,,,
1.9439999999,0,14258922.1584568270,,,
1.9479999999,0,10601143.8965578920,,,
1.9519999998,0,10268701.4749042950,,,
1.9559999998,0,11473360.1487907900,,,
1.9600000000,0,11950583.9458027020,,,
1.9639999999,0,11141764.2839856740,,,
1.9679999999,0,9728822.7197867073,,,
1.9719999998,0,8459141.9504271541,,,
1.9759999998,0,7668603.4159438265,,,
1.9800000000,0,7350829.9802114032,,,
1.9839999999,0,7238736.3533782754,,,
1.9879999999,0,6883667.0504070269,,,
1.9919999999,0,5978443.3669344950,,,
1.9959999998,0,4656472.0135157676,,,
2.0000000000,0,3342855.3770019687,,,
2.0040000000,0,2371158.9806430908,,,
2.0079999999,0,1813942.7964447932,,,
2.0119999999,0,1575022.7170981793,,,
2.0159999998,0,1533765.7753304408,,,
2.0199999998,0,1591178.9599506333,,,
2.0240000000,0,1645470.7318909445,,,
2.0279999999,0,1606290.2726023565,,,
2.0319999999,0,1445443.6723432709,,,
2.0359999998,0,1208679.7797484878,,,
2.0399999998,0,975481.6844556641,,,
2.0440000000,0,807976.9146815871,,,
2.0480000000,0,726073.9444450614,,,
2.0519999999,0,711922.7751737599,,,
2.0559999999,0,722321.4273870444,,,
2.0599999998,0,708466.1101323618,,,
2.0639999998,0,644271.1848299736,,,
2.0680000000,0,538013.8662189250,,,
2.0719999999,0,418106.8786319292,,,
2.0759999999,0,313398.3491170555,,,
2.0799999998,0,288973.5669972614,,,
2.0839999998,0,597920.0882770547,,,
2.0880000000,0,2391256.8979161996,,,
2.0919999999,0,7370111.5889547523,,,
2.0959999999,0,11290625.1947121510,,,
2.0999999999,0,5430642.9944178276,,,
2.1039999998,0,1015279.9887494450,,,
2.1079999998,0,30528936.5316060860,,,
2.1120000000,0,92889992.7459847330,,,
2.1159999999,0,126345255.8792107000,,,
2.1199999999,0,83629945.2536011640,,,
2.1239999998,0,13437158.5170603690,,,
2.1279999998,0,12452083.8265052740,,,
2.1320000000,0,99427022.5699436070,,,
2.1359999999,0,185974856.6053797000,,,
2.1399999999,0,183619118.4418445200,,,
2.1439999999,0,102033489.0200798100,,,
2.1479999998,0,22294802.7954120560,,,
2.1519999998,0,697803.6048277902,,,
2.1560000000,0,25097695.5353788440,,,
2.1599999999,0,51835273.3654509710,,,
2.1639999999,0,56246168.3910245750,,,
2.1679999998,0,42922691.4842456880,,,
2.1719999998,0,26101891.7112519330,,,
2.1760000000,0,13706503.1839348880,,,
2.1799999999,0,6276053.5355010806,,,
2.1839999999,0,2003054.5536679069,,,
2.1879999998,0,78660.2215073905,,,
2.1919999998,0,1216044.7869414212,,,
2.1960000000,0,6061917.1623519892,,,
2.2000000000,0,12974242.7962187360,,,
2.2039999999,0,17944684.9685456860,,,
2.2079999999,0,17598123.6417068950,,,
2.2119999998,0,12235895.3752878810,,,
2.2159999998,0,5476287.9654348092,,,
2.2200000000,0,1022616.1725005296,,,
2.2239999999,0,64549.2167187869,,,
2.2279999999,0,1398536.1376472702,,,
2.2319999998,0,3198163.4332758319,,,
2.2359999998,0,4357769.4496038705,,,
2.2400000000,0,4654146.0710791610,,,
2.2439999999,0,4415580.8692547679,,,
2.2479999999,0,4863275.2195320576,,,
2.2519999999,0,7699987.5170311611,,,
2.2559999998,0,9856390.8085568883,,,
2.2599999998,0,4675735.1691342238,,,
2.2640000000,0,417057.7667139699,,,
2.2679999999,0,21265170.5864233410,,,
2.2719999999,0,66881350.7658175080,,,
2.2759999998,0,91986493.0259894730,,,
2.2799999998,0,61327980.8417093750,,,
2.2840000000,0,10552568.0071036780,,,
2.2879999999,0,11464639.9612216110,,,
2.2919999999,0,77790493.2163651290,,,
2.2959999999,0,142456677.7919881600,,,
2.2999999998,0,138555637.5649875700,,,
2.3039999998,0,74777424.7775927190,,,
2.3080000000,0,14785459.8168616330,,,
2.3119999999,0,1905474.2349722155,,,
2.3159999999,0,24683451.5541076960,,,
2.3199999998,0,46825975.2047842440,,,
2.3239999998,0,48561992.8929280190,,,
2.3280000000,0,35063153.9468535480,,,
2.3319999999,0,19825967.8170434870,,,
2.3359999999,0,10544132.1500311610,,,
2.3399999999,0,7179740.2379595274,,,
2.3439999998,0,6459254.7241956620,,,
2.3480000000,0,4500054.7089322042,,,
2.3520000000,0,603399.5315330917,,,
2.3559999999,0,6117099.5641126102,,,
2.3599999999,0,37771432.4241157920,,,
2.3639999998,0,87556297.4966575950,,,
2.3679999998,0,113568549.2150889600,,,
2.3720000000,0,84555363.1242372100,,,
2.3759999999,0,26548749.5408613420,,,
2.3799999999,0,446550.9069505868,,,
2.3839999998,0,32400484.7835854660,,,
2.3879999998,0,85937287.3944407850,,,
2.3920000000,0,107056138.5195992000,,,
2.3959999999,0,80958131.8642052410,,,
2.3999999999,0,36362052.5795218940,,,
2.4039999999,0,6632986.6694501583,,,
2.4079999998,0,570036.3641501353,,,
2.4119999998,0,6968208.6565466616,,,
2.4160000000,0,13409116.8578434720,,,
2.4199999999,0,15582180.2933441720,,,
2.4239999999,0,14820925.9383625310,,,
2.4279999998,0,13135332.1488568350,,,
2.4319999998,0,11046090.3698171940,,,
2.4360000000,0,8040189.5008401675,,,
2.4399999999,0,4300937.4021133920,,,
2.4439999999,0,1633496.5127249490,,,
2.4479999999,0,1929942.3108231607,,,
2.4519999998,0,4920543.5881818850,,,
2.4559999998,0,8382499.3826059345,,,
2.4600000000,0,10433712.9922775550,,,
2.4639999999,0,10722791.8167168670,,,
2.4679999999,0,9615799.0578035470,,,
2.4719999998,0,7387051.6053374577,,,
2.4759999998,0,4552824.9413930029,,,
2.4800000000,0,2252112.3603284219,,,
2.4839999999,0,1538792.6122462458,,,
2.4879999999,0,2322129.6572434027,,,
2.4919999999,0,3449798.4075955776,,,
2.4959999998,0,3840581.2111407407,,,
2.0000000000,1,3342855.3770019687,,,
2.0040000000,1,2371158.9806430908,,,
2.0079999999,1,1813942.7964447932,,,
2.0119999999,1,1575022.7170981793,,,
2.0159999998,1,1533765.7753304408,,,
2.0199999998,1,1591178.9599506333,,,
2.0240000000,1,1645470.7318909445,,,
2.0279999999,1,1606290.2726023565,,,
2.0319999999,1,1445443.6723432709,,,
2.0359999998,1,1208679.7797484878,,,
2.0399999998,1,975481.6844556641,,,
2.0440000000,1,807976.9146815871,,,
2.0480000000,1,726073.9444450614,,,
2.0519999999,1,711922.7751737599,,,
2.0559999999,1,722321.4273870444,,,
2.0599999998,1,708466.1101323618,,,
2.0639999998,1,644271.1848299736,,,
2.0680000000,1,538013.8662189250,,,
2.0719999999,1,418106.8786319292,,,
2.0759999999,1,313398.3491170555,,,
2.0799999998,1,288973.5669972614,,,
2.0839999998,1,597920.0882770547,,,
2.0880000000,1,2391256.8979161996,,,
2.0919999999,1,7370111.5889547523,,,
2.0959999999,1,11290625.1947121510,,,
2.0999999999,1,5430642.9944178276,,,
2.1039999998,1,1015279.9887494450,,,
2.1079999998,1,30528936.5316060860,,,
2.1120000000,1,92889992.7459847330,,,
2.1159999999,1,126345255.8792107000,,,
2.1199999999,1,83629945.2536011640,,,
2.1239999998,1,13437158.5170603690,,,
2.1279999998,1,12452083.8265052740,,,
2.1320000000,1,99427022.5699436070,,,
2.1359999999,1,185974856.6053797000,,,
2.1399999999,1,183619118.4418445200,,,
2.1439999999,1,102033489.0200798100,,,
2.1479999998,1,22294802.7954120560,,,
2.1519999998,1,697803.6048277902,,,
2.1560000000,1,25097695.5353788440,,,
2.1599999999,1,51835273.3654509710,,,
2.1639999999,1,56246168.3910245750,,,
2.1679999998,1,42922691.4842456880,,,
2.1719999998,1,26101891.7112519330,,,
2.1760000000,1,13706503.1839348880,,,
2.1799999999,1,6276053.5355010806,,,
2.1839999999,1,2003054.5536679069,,,
2.1879999998,1,78660.2215073905,,,
2.1919999998,1,1216044.7869414212,,,
2.1960000000,1,6061917.1623519892,,,
2.2000000000,1,12974242.7962187360,,,
2.2039999999,1,17944684.9685456860,,,
2.2079999999,1,17598123.6417068950,,,
2.2119999998,1,12235895.3752878810,,,
2.2159999998,1,5476287.9654348092,,,
2.2200000000,1,1022616.1725005296,,,
2.2239999999,1,64549.2167187869,,,
2.2279999999,1,1398536.1376472702,,,
2.2319999998,1,3198163.4332758319,,,
2.2359999998,1,4357769.4496038705,,,
2.2400000000,1,4654146.0710791610,,,
2.2439999999,1,4415580.8692547679,,,
2.2479999999,1,4863275.2195320576,,,
2.2519999999,1,7699987.5170311611,,,
2.2559999998,1,9856390.8085568883,,,
2.2599999998,1,4675735.1691342238,,,
2.2640000000,1,417057.7667139699,,,
2.2679999999,1,21265170.5864233410,,,
2.2719999999,1,66881350.7658175080,,,
2.2759999998,1,91986493.0259894730,,,
2.2799999998,1,61327980.8417093750,,,
2.2840000000,1,10552568.0071036780,,,
2.2879999999,1,11464639.9612216110,,,
2.2919999999,1,77790493.2163651290,,,
2.2959999999,1,142456677.7919881600,,,
2.2999999998,1,138555637.5649875700,,,
2.3039999998,1,74777424.7775927190,,,
2.3080000000,1,14785459.8168616330,,,
2.3119999999,1,1905474.2349722155,,,
2.3159999999,1,24683451.5541076960,,,
2.3199999998,1,46825975.2047842440,,,
2.3239999998,1,48561992.8929280190,,,
2.3280000000,1,35063153.9468535480,,,
2.3319999999,1,19825967.8170434870,,,
2.3359999999,1,10544132.1500311610,,,
2.3399999999,1,7179740.2379595274,,,
2.3439999998,1,6459254.7241956620,,,
2.3480000000,1,4500054.7089322042,,,
2.3520000000,1,603399.5315330917,,,
2.3559999999,1,6117099.5641126102,,,
2.3599999999,1,37771432.4241157920,,,
2.3639999998,1,87556297.4966575950,,,
2.3679999998,1,113568549.2150889600,,,
2.3720000000,1,84555363.1242372100,,,
2.3759999999,1,26548749.5408613420,,,
2.3799999999,1,446550.9069505868,,,
2.3839999998,1,32400484.7835854660,,,
2.3879999998,1,85937287.3944407850,,,
2.3920000000,1,107056138.5195992000,,,
2.3959999999,1,80958131.8642052410,,,
2.3999999999,1,36362052.5795218940,,,
2.4039999999,1,6632986.6694501583,,,
2.4079999998,1,570036.3641501353,,,
2.4119999998,1,6968208.6565466616,,,
2.4160000000,1,13409116.8578434720,,,
2.4199999999,1,15582180.2933441720,,,
2.4239999999,1,14820925.9383625310,,,
2.4279999998,1,13135332.1488568350,,,
2.4319999998,1,11046090.3698171940,,,
2.4360000000,1,8040189.5008401675,,,
2.4399999999,1,4300937.4021133920,,,
2.4439999999,1,1633496.5127249490,,,
2.4479999999,1,1929942.3108231607,,,
2.4519999998,1,4920543.5881818850,,,
2.4559999998,1,8382499.3826059345,,,
2.4600000000,1,10433712.9922775550,,,
2.4639999999,1,10722791.8167168670,,,
2.4679999999,1,9615799.0578035470,,,
2.4719999998,1,7387051.6053374577,,,
2.4759999998,1,4552824.9413930029,,,
